productID,categoryID,title,condition,payment,price,location,country,created_at
100000,1,"2014 Doosan D25S-7 5,000 lbs Warehouse Industrial Forklift Truck Diesel bidadoo",4,PaymentSeeDescription,5100,"San Antonio,TX,USA",US,2023-10-22
100001,1,2014 Toyota 5000 Forklift With Side Shift and Triple Mast,4,CashOnPickup,9999,"Cleveland,OH,USA",US,2023-10-22
100002,,"2013 Skytrak 6042 42' 6,000 lbs Telescopic Reach Forklift Telehandler bidadoo",3,PaymentSeeDescription,6100,"Savannah,GA,USA",US,2023-10-22
100003,1,2014 Toyota 3000 LB Electric Forklift 3 Wheel With Triple mast SS/FP,1,CashOnPickup,7499,"Chagrin Falls,OH,USA",US,2023-10-22
100004,1,"2008 Genie GTH-5519 19' 5,500 lbs Telescopic Reach Forklift Telehandler bidadoo",2,PaymentSeeDescription,10200,"Baldwin Park,CA,USA",US,2023-10-22
100005,1,"2012 Doosan B18X -5 forklift 4,000 lbs Warehouse 45"" forks, with charger.",3,PayPal,6500,"Long Island City,NY,USA",US,2023-10-22
100006,1,2013 Hyster 6000 Lb Forklift With Side Shift and Triple Mast,5,CashOnPickup,6299,"Cleveland,OH,USA",US,2023-10-23
100007,1,Telehandler Forklift 2011 Skytrak 8042 8000 LB 42' 4x4x4 Telescopic Diesel,1,PaymentSeeDescription,30000,"Orem,UT,USA",US,2023-10-23
100008,1,"NICE! 2007 TOYOTA 4000 LB LPG FORKLIFT 4,000 LB 8FGCU20 SIDE SHIFT",4,MOCC,8950,"Dayton,OH,USA",US,2023-10-23
100009,1,"CLEAN! 2010 TOYOTA 3000 LB LPG PNEUMATIC FORKLIFT 3,000 LB 8FGU15 AIR TIRES",4,MOCC,8250,"Dayton,OH,USA",US,2023-10-23
100010,1,NICE! 2010 TOYOTA 3000 LB LPG PNEUMATIC FORKLIFT UNPAINTED 8FGU15 AIR TIRES,4,MOCC,7250,"Dayton,OH,USA",US,2023-10-23
100011,1,2007 Yale GLP080VXN 8000lbs Used Forklift Triple Mast Sideshift LP Gas Pneumatic,3,PersonalCheck,10550,"Cleveland,OH,USA",US,2023-10-23
100012,1,2014 Hyster S50FT 5000lbs Used Forklift w/Triple Mast & Sideshift LP Gas,1,PersonalCheck,6950,"Cleveland,OH,USA",US,2023-10-24
100013,1,2016 Yale GLP060VXN 6000lbs Used Pneumatic Forklift Triple Mast Sideshift LP Gas,2,PersonalCheck,11250,"Garland,TX,USA",US,2023-10-24
100014,1,"2013 TOYOTA 4000 LB LPG FORKLIFT 4,000 LB 8FGCU20 SIDE SHIFT",5,PayPal,8900,"Hialeah,FL,USA",US,2023-10-24
100015,1,2013 Toyota 8FGCU20 Forklift 4000lb capacity 2stage LPG,4,MOCC,7900,"Apopka,FL,USA",US,2023-10-24
